Waktu,Suhu (°C),Kelembapan (%),Tekanan (hPa)
2025-05-17 18:51:37,29.6,87.54,1008.18
2025-05-17 18:51:36,29.6,87.57,1008.21
2025-05-17 18:51:36,29.6,87.57,1008.21
2025-05-17 18:51:35,29.6,87.59,1008.19
2025-05-17 18:51:35,29.6,87.59,1008.19
2025-05-17 18:51:34,29.59,87.62,1008.19
2025-05-17 18:51:34,29.59,87.62,1008.19
2025-05-17 18:51:33,29.59,87.66,1008.22
2025-05-17 18:51:33,29.59,87.66,1008.22
2025-05-17 18:51:32,29.6,87.68,1008.19
2025-05-17 18:51:32,29.6,87.68,1008.19
2025-05-17 18:51:31,29.61,87.7,1008.19
2025-05-17 18:51:31,29.61,87.7,1008.19
2025-05-17 18:51:30,29.6,87.74,1008.2
2025-05-17 18:51:30,29.6,87.74,1008.2
2025-05-17 18:51:29,29.59,87.76,1008.18
2025-05-17 18:51:29,29.59,87.76,1008.18
2025-05-17 18:51:28,29.59,87.79,1008.18
2025-05-17 18:51:28,29.59,87.79,1008.18
2025-05-17 18:51:27,29.58,87.81,1008.21
2025-05-17 18:51:27,29.58,87.81,1008.21
2025-05-17 18:51:26,29.59,87.87,1008.2
2025-05-17 18:51:26,29.59,87.87,1008.2
2025-05-17 18:51:25,29.59,87.9,1008.19
2025-05-17 18:51:25,29.59,87.9,1008.19
2025-05-17 18:51:24,29.58,87.97,1008.2
2025-05-17 18:51:24,29.58,87.97,1008.2
2025-05-17 18:51:23,29.57,88.02,1008.19
2025-05-17 18:51:23,29.57,88.02,1008.19
2025-05-17 18:51:09,29.46,88.48,1008.21
2025-05-17 18:51:08,29.46,88.48,1008.21
2025-05-17 18:51:07,29.44,88.55,1008.19
2025-05-17 18:51:07,29.44,88.55,1008.19
2025-05-17 09:40:58,33.37,75.18,1009.69
2025-05-17 09:40:57,33.37,75.2,1009.69
2025-05-17 09:40:56,33.36,75.12,1009.7
2025-05-17 09:40:54,33.36,75.14,1009.68
2025-05-17 09:40:54,33.35,75.15,1009.66
2025-05-17 09:40:53,33.36,75.21,1009.69
2025-05-17 09:40:52,33.35,75.09,1009.71
2025-05-17 09:40:50,33.35,75.19,1009.7
2025-05-17 09:40:49,33.33,75.08,1009.69
2025-05-17 09:40:49,33.34,75.1,1009.72
2025-05-17 09:40:47,33.3,74.97,1009.69
2025-05-17 09:40:47,33.31,75.02,1009.65
2025-05-17 09:40:45,33.3,74.97,1009.69
2025-05-17 09:40:44,33.29,74.99,1009.68
2025-05-17 09:40:43,33.29,74.98,1009.68
2025-05-17 09:40:42,33.28,74.97,1009.69
2025-05-17 09:40:41,33.29,75.04,1009.68
2025-05-17 09:40:40,33.28,75.08,1009.68
2025-05-17 09:40:39,33.27,75.02,1009.69
2025-05-17 09:40:38,33.29,75.05,1009.67
2025-05-17 09:40:37,33.29,75.12,1009.7
2025-05-17 09:40:36,33.3,75.21,1009.71
2025-05-17 09:40:35,33.3,75.28,1009.71
2025-05-17 09:40:34,33.3,75.23,1009.69
2025-05-17 09:40:33,33.29,75.11,1009.67
2025-05-17 09:40:32,33.26,75.01,1009.66
2025-05-17 09:40:31,33.26,75.02,1009.67
2025-05-17 09:40:30,33.27,75.1,1009.7
2025-05-17 09:40:29,33.27,75.18,1009.69
2025-05-17 09:40:28,33.26,75.17,1009.68
2025-05-17 09:40:27,33.26,75.06,1009.68
2025-05-17 09:40:26,33.26,75.08,1009.67
2025-05-17 09:40:25,33.25,74.99,1009.64
2025-05-17 09:40:24,33.25,74.81,1009.68
2025-05-17 09:40:23,33.26,74.77,1009.67
2025-05-17 09:40:22,33.27,74.78,1009.69
2025-05-17 09:40:21,33.29,74.79,1009.68
2025-05-17 09:40:20,33.3,74.86,1009.67
2025-05-17 09:40:19,33.31,74.91,1009.7
2025-05-17 09:40:18,33.32,74.94,1009.71
2025-05-17 09:40:17,33.32,75.02,1009.69
2025-05-17 09:40:16,33.32,75.0,1009.7
2025-05-17 09:40:15,33.32,74.93,1009.66
2025-05-17 09:40:14,33.3,74.74,1009.68
2025-05-17 09:40:13,33.29,74.67,1009.73
2025-05-17 09:40:12,33.3,74.64,1009.7
2025-05-17 09:40:11,33.3,74.68,1009.69
2025-05-17 09:40:10,33.3,74.71,1009.67
2025-05-17 09:40:09,33.28,74.67,1009.68
2025-05-17 09:40:08,33.29,74.71,1009.69
2025-05-17 09:40:07,33.3,74.74,1009.67
2025-05-17 09:40:06,33.3,74.7,1009.68
2025-05-17 09:40:05,33.3,74.7,1009.66
2025-05-17 09:40:04,33.31,74.66,1009.69
2025-05-17 09:40:03,33.32,74.68,1009.68
2025-05-17 09:40:02,33.33,74.8,1009.69
2025-05-17 09:40:01,33.32,74.74,1009.7
2025-05-17 09:40:00,33.32,74.66,1009.72
2025-05-17 09:39:59,33.32,74.67,1009.73
2025-05-17 09:39:58,33.32,74.63,1009.7
2025-05-17 09:39:57,33.33,74.64,1009.68
2025-05-17 09:39:56,33.33,74.67,1009.69
2025-05-17 09:39:55,33.34,74.71,1009.68
2025-05-17 09:39:54,33.36,74.78,1009.71
2025-05-17 09:39:53,33.36,74.87,1009.68
2025-05-17 09:39:52,33.36,74.85,1009.73
2025-05-17 09:39:51,33.37,74.88,1009.7
2025-05-17 09:39:50,33.38,75.02,1009.69
2025-05-17 09:39:49,33.4,75.22,1009.71
2025-05-17 09:39:48,33.4,75.18,1009.7
2025-05-17 09:39:47,33.41,75.29,1009.72
2025-05-17 09:39:46,33.4,75.17,1009.7
2025-05-17 09:39:45,33.4,75.09,1009.7
2025-05-17 09:39:44,33.4,74.99,1009.69
2025-05-17 09:39:43,33.39,74.94,1009.69
2025-05-17 09:39:42,33.4,75.0,1009.7
2025-05-17 09:39:41,33.41,74.97,1009.68
2025-05-17 09:39:40,33.42,75.04,1009.71
2025-05-17 09:39:39,33.42,75.1,1009.72
2025-05-17 09:39:38,33.43,74.94,1009.71
2025-05-17 09:39:37,33.44,74.82,1009.72
2025-05-17 09:39:36,33.44,74.62,1009.72
2025-05-17 09:39:35,33.46,74.58,1009.69
2025-05-17 09:39:34,33.48,74.6,1009.7
2025-05-17 09:39:34,33.48,74.6,1009.7
2025-05-17 09:39:33,33.49,74.63,1009.72
2025-05-17 09:39:33,33.49,74.63,1009.72
2025-05-17 09:39:32,33.5,74.61,1009.7
2025-05-17 09:39:32,33.5,74.61,1009.7
2025-05-17 09:39:31,33.51,74.61,1009.69
2025-05-17 09:39:31,33.51,74.61,1009.69
2025-05-17 09:39:30,33.51,74.67,1009.72
2025-05-17 09:39:30,33.51,74.67,1009.72
2025-05-17 09:39:29,33.51,74.68,1009.71
2025-05-17 09:39:29,33.51,74.68,1009.71
2025-05-17 09:39:27,33.5,74.65,1009.68
2025-05-17 09:39:27,33.5,74.65,1009.68
2025-05-17 09:39:27,33.5,74.68,1009.7
2025-05-17 09:39:27,33.5,74.68,1009.7
2025-05-17 09:39:25,33.48,74.65,1009.69
